architecture,name,description,category,link,tipo_arquitectura,services
7LziNjUTo7w,IHS Markit: Virtual Instructor-Led Trainings with IHS Markit (now part of S&P Global),"[VERY INTERESTING!]
    Virtual software training platform.
    The product is PETRA technical application, which requires high-end configurations with GPUs; use AWS AppStream to deliver the software.
    Students simply click streaming URL to access the software.
    Use Filesystem! Potentially because it is a high-end software.
    It is mentioned the software also runs on Desktop (but requires high-end GPUs and CPUs), which may imply why it uses FS.",interactive,https://www.youtube.com/watch?v=7LziNjUTo7w,HPC,"['Lambda', 'CloudFormation', 'UserConsumerWeb', 'AppStream', 'FSX', 'EC2', 'SystemsManager', 'RDS']"
c-1GXhOOOww,Anchor Operating System: Building a Serverless Guest Sightseeing Journey Seamlessly,"ticketing platform. more than 40 tenants on it. like nyc ferry. app sync - graphql. multitenacy by DynamoDB.
    partition keys used for each tenant. sometimes lambda is skipped. app sync directly hits lambda",interactive,https://www.youtube.com/watch?v=c-1GXhOOOww,,"['Lambda', 'ApiGateway', 'DynamoDB', 'ThirdParty', 'S3', 'AppSync', 'SQS', 'UserConsumerMobile', 'UserConsumerAPI']"
asZIXK7V-U4,Ounass: Building a Scalable Recommender Architecture Powered by the Word2vec Algorithm,Luxury e-commerce platform; build recommendation systems based on users browsing data; use A/B test to test ML models,data_ingestion,https://www.youtube.com/watch?v=asZIXK7V-U4,,"['Lambda', 'Athena', 'ApiGateway', 'SageMaker', 'UserConsumerWeb', 'S3', 'StepFunctions', 'EventBridge']"
RU__HBEMDvQ,BookMyShow: How BMS Scaled Data Analytics to Handle 28M Ticket Sales with Modern Data Architecture,"UserCompanyDataStream: Transition, CIM, clickstream, product data.
Scale: 250M users, 5B page views/month. 28M tickets sold in April 2021.
Data sources: transition data, CIM data, clickstream data, product data.
Data pipeline: EMR -> S3 -> Glue -> EMR -> Redshift -> QuickSight
ML: SageMaker
Cost: 70% less than on-prem.
Migration: 4 months.",data_ingestion,https://www.youtube.com/watch?v=RU__HBEMDvQ,,"['SageMaker', 'UserCompanyDataStream', 'S3', 'StepFunctions', 'UserCompanyAnalyst', 'RedShift', 'QuickSight', 'EMR', 'Glue']"
KywvGM6HVXI,Capillary Technologies: Building an OmniChannel Data Ingestion Platform,"10M events in a day to 10M events in an hour during burstFuture plans of using step functions, move from k8s cluster to EKS",data_ingestion,https://www.youtube.com/watch?v=KywvGM6HVXI,,"['Lambda', 'DynamoDB', 'ApiGateway', 'UserConsumerWeb', 'ALB', 'EC2', 'SQS', 'Kinesis', 'UserCompanyDeveloper']"
CDCLwX2fo2g,Ztore: Building a Recommendation System on AWS (Cantonese),why use fargate/ecs: because data engineers run most ofthe system and don't want to deal with infra. Why dynamodb? How dealwith scalability? Fargate engine. talks about scalability. (100x).talks about methods considered to load model into app.Uses the benefit the redeployability of ECS,"compute_intensive,interactive",https://www.youtube.com/watch?v=CDCLwX2fo2g,,"['DynamoDB', 'ALB', 'EC2', 'S3', 'ECS', 'UserConsumerMobile', 'CloudWatch']"
hbz63Ve-eIY,Wix: Serverless Platform for End-to-End Browser Testing using Chromium on AWS Lambda,serves 5% of the worlds total websites. 700 million unique users per month. unique deployments - 4000. need scalable testing. can use ci/cd or laptop as starting point. MAX IS 700 test lambdas concurrently. 2M executions/week. use pptr and chromium. monitor using cloudwatch. Runs BROWSER on Lambdas!,control,https://www.youtube.com/watch?v=hbz63Ve-eIY,,"['Lambda', 'DynamoDB', 'S3', 'CloudWatch', 'UserCompanyDeveloper', 'Cognito']"
mmM_JnYygZM,SHOPLINE: Building E-Commerce O2O platform on AWS (Cantonese),"E-commers O2O platform. The video focuses on authentication and data synchronization.
    UserCompanyDataStream is MongoDB managed into a private network.
    Easy to extend and reuse existing infrastructure. Good for agile development to quick reach the market.",interactive,https://www.youtube.com/watch?v=mmM_JnYygZM,Edge,"['ApiGateway', 'UserConsumerWeb', 'UserCompanyDataStream', 'ThirdParty', 'UserConsumerPOS', 'S3', 'ECS', 'CloudWatch']"
cmlhEbm1kPk,DXC  Munich Re: Amazon Connect with AWS Machine Learning Services,Reduced cost,compute_intensive,https://www.youtube.com/watch?v=cmlhEbm1kPk,,"['Lambda', 'DynamoDB', 'S3', 'Polly', 'Lex', 'MediaConnect', 'Translate', 'Transcribe']"
gD8pzUnXgsU,Liberty Mutual: Moving Towards RealTime Financial Closing Using AWS,"Migration of on-premises financial closing system to AWS.
    on prem etl layer sends data to S3 on schedule.
    primary and secondary setup for HANA services.
    x1.32 large instances for HANA.
    perfomance: 10 hours to 1 hour.
    S3 to S3 cross region replication. for disaster recovery.
    CloudWatch for monitoring.
    Cloudformation builds the infrastructure in <1 hour, as opposed to months earlier.",data_ingestion,https://www.youtube.com/watch?v=gD8pzUnXgsU,,"['CloudFormation', 'ThirdParty', 'S3', 'OnPremDC', 'CloudWatch']"
vdujJAab1LM,ShopFully International Group: Serverless Global Log Ingestion  Analytics System Italian,"Processing logs from different parts of the world.
    Per day: 3M users, 30M events, 50GB data.",data_ingestion,https://www.youtube.com/watch?v=vdujJAab1LM,Edge,"['Firehose', 'Lambda', 'Athena', 'LambdaAtEdge', 'S3', 'KinesisAnalytics', 'UserConsumerMobile', 'CloudFront', 'Glue']"
o_zqbpuhyIY,TMA Greatest Hits 2020: Vol  1 with Nielsen HSBC and Temenos,covered in individual videos,control,https://www.youtube.com/watch?v=o_zqbpuhyIY,,"['UserConsumerAPI', 'Kinesis']"
FqCs3BD6qvo,Accellion kiteworks: Cost-Effective CI CD Platform Using Amazon EC2 Spot,Onprem CICD pipelines - Requests may get queued when resources are not available. VPC - scales and also enables secure site to site connection. 62 percent cost saving. Future plans of making use of Amazon Mac OS instances.,control,https://www.youtube.com/watch?v=FqCs3BD6qvo,,"['ThirdParty', 'EC2', 'UserCompanyDeveloper', 'VPN', 'VPC']"
gu54VVeDD10,"FPL Technologies: Building On-Demand, Secure, and Scalable Serverless ML Workbenches",,"data_ingestion,compute_intensive",https://www.youtube.com/watch?v=gu54VVeDD10,,"['Lambda', 'IAM', 'SageMaker', 'ECR', 'S3', 'UserCompanyAnalyst', 'RDS', 'Glue']"
Pc7_uOdlGKo,Panasonic Avionics: Weather Data and ML Models Improve In-Flight Entertainment Customer Satisfaction,,data_ingestion,https://www.youtube.com/watch?v=Pc7_uOdlGKo,,"['Athena', 'SageMaker', 'S3', 'QuickSight', 'UserConsumerMobile', 'LakeFormation', 'UserCompanyAgent', 'Glue']"
4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,"[INTERESTING TAKEAWAY!]
    Railway company.
    Use sensors to reduce train inspection time.
    Data producers are sensors; consumers are some other algorithms.
    [**goal**] Want flexible to extend functions (e.g, new sensors);
    [**infrastructure as code**] to add a new data producer, just duplicate ""lambda -> kinesis_1 -> kineses_2"" and plug into kineses_3.
    Why Lambda over EC2: goal is as least operations as possible because the engineer team is small; lambda only runs a few lines of code so don't want to manage machines.",data_ingestion,https://www.youtube.com/watch?v=4-teOQ_dJvY,Edge,"['Lambda', 'ApiGateway', 'DynamoDB', 'KinesisAnalytics', 'UserCompanyAPI', 'UserCompanyEdge', 'Kinesis']"
oEmuI32GYww,LG Electronics  ThinQ: Data Lake Storage for Connected Devices,"appliances equipped with AI. wifi modules installed, scalability and safety were important. 
    its a datalake based on AWS used for storage and analysis. why iot core? for 24*7 stability.",data_ingestion,https://www.youtube.com/watch?v=oEmuI32GYww,Edge,"['Lambda', 'Firehose', 'DynamoDB', 'UserConsumerEdge', 'ThirdParty', 'EC2', 'S3', 'IoTCore', 'RDS']"
nflGdpwbf54,Vertex Pharmaceuticals: A Serverless Platform for Small Molecule Search,,compute_intensive,https://www.youtube.com/watch?v=nflGdpwbf54,,"['Lambda', 'ApiGateway', 'AmazonMQ', 'UserConsumerWeb', 'Fargate', 'S3', 'ECS', 'RDS']"
LYP98nPBj2A,Singtel: Next-Generation Mobile Financial Services Platform on AWS and Amazon Aurora PostgreSQL,"Arora over Oracle DB - HA, automation, cost. 7-10 transactions/sec, can handle 50transactions/sec",interactive,https://www.youtube.com/watch?v=LYP98nPBj2A,,"['ALB', 'EC2', 'Aurora', 'UserConsumerMobile']"
KiH7hVJKzns,ADP: Unmatched People Data for Extraordinary Outcomes,"HR/Payroll system.
    70K clients, tens of millions of users.
    EKS is a too high-level (includes hundreds of microservices).",interactive,https://www.youtube.com/watch?v=KiH7hVJKzns,,"['ApiGateway', 'OpenSearch', 'ElastiCache', 'ELB', 'MSK', 'UserConsumerWebMobile', 'EKS', 'Aurora']"
cZuoiXQ0xUk,Leaven: Machine Learning at Massive Scale to Protect Human Life,"cloud consultancy company; moving customers to cloud.
    this video is about one case where they help a customer to run ML inference on video frames (for road inspection).
    Mention ML library is large, challenging to fit into Lambda. Lambda can only have 250MB expanded space (plus some space in temp directory), but TensorFlow is >1GB. AWS releases new features that allows to pack all pytho libraries into a docker container, with 10GB limit.
    Use 400k images with road defects to train the model.",compute_intensive,https://www.youtube.com/watch?v=cZuoiXQ0xUk,,"['Lambda', 'DynamoDB', 'SageMaker', 'ThirdParty', 'S3', 'MediaConvert', 'UserCompanyAgent']"
_pXybA6832o,Olikka: Self Service Hub with Alexa,"Company focuses on system integration and automation; customers request workspaces that support provision, identity
    Used rekognition because of no knowledge of cv required to use
    Used DynamoDB due to ease of use and latency
    Used numerous Lambda but due to CloudFormation, it's easy to setup
    Future Plan: use Sumerian (?)",interactive,https://www.youtube.com/watch?v=_pXybA6832o,Edge,"['Lambda', 'DynamoDB', 'UserConsumerAlexaGoogleHome', 'S3', 'StepFunctions', 'DeepLens', 'WorkSpaces', 'Rekognition']"
